year,division_name,crime_category,crime_subtype,incidents_reported,incidents_cleared,count_
2015,D42,Other Criminal Code Violations,Other,25,23,25
2017,D51,Criminal Code Traffic,Other,12,11,12
2015,D22,Controlled Drugs and Substances Act,Other,8,7,8
2016,D42,Crimes Against Property,Theft Under $5000,115,21,115
2023,D32,Crimes Against the Person,Assault,95,68,95
2020,D52,Other Criminal Code Violations,Other,58,46,58
2014,D52,Crimes Against the Person,Robbery-Other,67,24,67
2021,D53,Crimes Against the Person,Other,22,10,22
2017,NSA,Crimes Against Property,Theft Over $5000,1,1,1
2017,D23,Crimes Against Property,Auto Theft,24,1,24
2018,D51,Crimes Against the Person,Sexual Violation,12,3,12
2017,D33,Other Criminal Code Violations,Other,18,16,18
2020,D12,Crimes Against Property,Break & Enter-Commercial,17,2,17
2015,D14,Crimes Against the Person,Robbery-Other,5,2,5
2018,D53,Controlled Drugs and Substances Act,Other,3,3,3
2022,D14,Controlled Drugs and Substances Act,Other,18,18,18
2016,D53,Other Criminal Code Violations,Other,1,1,1
2016,D13,Crimes Against the Person,Assault,64,48,64
2022,D53,Criminal Code Traffic,Other,13,12,13
2023,D41,Crimes Against Property,Break & Enter-Apartment,9,2,9
2018,D53,Crimes Against the Person,Attempt Murder,1,1,1
2022,D31,Crimes Against the Person,Robbery-Other,4,2,4
2014,D32,Crimes Against Property,Fraud,10,2,10
2015,D14,Crimes Against Property,Theft Under $5000,337,48,337
2016,D55,Crimes Against Property,Other,71,31,71
2020,D13,Crimes Against Property,Break & Enter-Commercial,2,1,2
2014,D31,Crimes Against Property,Fraud,63,29,63
2017,D12,Criminal Code Traffic,Other,14,14,14
2015,D31,Other Criminal Code Violations,Other,81,73,81
2018,D14,Crimes Against Property,Other,136,49,136
2018,D52,Crimes Against the Person,Sexual Violation,7,2,7
2019,D13,Crimes Against Property,Auto Theft,43,19,43
2015,D12,Crimes Against Property,Break & Enter-Other,4,1,4
2019,D42,Crimes Against the Person,Other,25,19,25
2019,D11,Other Federal Statute Violations,Other,2,2,2
2020,D33,Crimes Against Property,Break & Enter-Apartment,8,2,8
2015,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3,3
2019,D53,Crimes Against Property,Break & Enter-Commercial,38,8,38
2023,D22,Criminal Code Traffic,Other,17,14,17
2018,D32,Other Criminal Code Violations,Other,12,10,12
2023,D53,Crimes Against the Person,Assault,7,4,7
2016,D14,Crimes Against Property,Break & Enter-House,19,7,19
2015,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,3,4
2018,D32,Crimes Against Property,Theft Under $5000,403,140,403
2023,D33,Crimes Against Property,Auto Theft,163,4,163
2019,D32,Crimes Against Property,Break & Enter-Commercial,3,1,3
2014,D55,Other Criminal Code Violations,Other,2,1,2
2018,D51,Criminal Code Traffic,Other,8,8,8
2020,D31,Crimes Against Property,Auto Theft,106,4,106
2022,D55,Crimes Against Property,Break & Enter-Other,1,1,1
2014,D51,Crimes Against the Person,Assault,200,137,200
2020,D11,Crimes Against Property,Break & Enter-Commercial,15,3,15
2023,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,12,10,12
2023,D55,Criminal Code Traffic,Other,31,31,31
2014,D14,Crimes Against the Person,Robbery-Other,18,7,18
2023,D33,Other Criminal Code Violations,Other,18,14,18
2017,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6,6,6
2017,D32,Criminal Code Traffic,Other,2,2,2
2014,D12,Crimes Against Property,Break & Enter-House,7,2,7
2016,D11,Crimes Against Property,Other,88,26,88
2018,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,4,5
2020,D51,Crimes Against Property,Fraud,189,15,189
2021,D32,Other Federal Statute Violations,Other,1,1,1
2018,D14,Crimes Against the Person,Attempt Murder,1,1,1
2017,D22,Crimes Against the Person,Sexual Violation,4,1,4
2021,D43,Other Federal Statute Violations,Other,1,1,1
2023,D53,Crimes Against Property,Break & Enter-Commercial,28,8,28
2022,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6,4,6
2022,D41,Crimes Against Property,Fraud,124,9,124
2020,D42,Crimes Against the Person,Assault,71,44,71
2023,D55,Crimes Against Property,Theft Over $5000,4,2,4
2016,D31,Controlled Drugs and Substances Act,Other,39,38,39
2018,D13,Other Criminal Code Violations,Other,19,19,19
2018,D32,Other Federal Statute Violations,Other,2,1,2
2018,D43,Criminal Code Traffic,Other,4,4,4
2023,D41,Controlled Drugs and Substances Act,Other,8,7,8
2020,D41,Crimes Against the Person,Other,7,5,7
2021,D22,Crimes Against the Person,Sexual Violation,7,3,7
2022,D43,Crimes Against the Person,Assault,114,76,114
2019,D43,Criminal Code Traffic,Other,3,3,3
2022,D22,Crimes Against Property,Fraud,217,8,217
2018,D31,Other Criminal Code Violations,Other,173,163,173
2014,D55,Crimes Against the Person,Attempt Murder,1,1,1
2018,D43,Crimes Against the Person,Other,27,21,27
2023,D32,Crimes Against Property,Other,63,24,63
2020,D43,Crimes Against the Person,Sexual Violation,9,5,9
2019,D55,Crimes Against Property,Other,98,24,98
2015,D22,Controlled Drugs and Substances Act,Other,15,13,15
2017,D33,Crimes Against the Person,Sexual Violation,11,7,11
2019,D14,Crimes Against Property,Break & Enter-Other,9,1,9
2021,D43,Crimes Against Property,Other,177,62,177
2014,D33,Crimes Against Property,Auto Theft,16,1,16
2018,D13,Crimes Against Property,Fraud,39,4,39
2023,D51,Crimes Against Property,Auto Theft,12,3,12
2018,D53,Crimes Against the Person,Other,23,11,23
2016,D42,Other Criminal Code Violations,Other,40,36,40
2015,D41,Crimes Against the Person,Robbery-Other,30,6,30
2021,D32,Criminal Code Traffic,Other,2,1,2
2021,D22,Other Criminal Code Violations,Other,1,1,1
2014,D23,Crimes Against Property,Break & Enter-Apartment,15,1,15
2022,D11,Crimes Against Property,Break & Enter-House,3,2,3
2018,D55,Other Criminal Code Violations,Other,149,131,149
2023,D52,Controlled Drugs and Substances Act,Other,12,11,12
2021,D23,Crimes Against the Person,Sexual Violation,17,11,17
2016,D11,Crimes Against Property,Auto Theft,9,1,9
2019,D53,Crimes Against Property,Break & Enter-House,33,2,33
2016,D41,Other Criminal Code Violations,Other,345,332,345
2020,D51,Crimes Against the Person,Robbery-Other,26,13,26
2016,D51,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1
2018,D14,Controlled Drugs and Substances Act,Other,35,33,35
2023,D42,Crimes Against the Person,Robbery-Other,7,4,7
2018,D53,Crimes Against Property,Break & Enter-Commercial,4,3,4
2016,D33,Crimes Against Property,Other,64,23,64
2017,D31,Crimes Against Property,Theft Under $5000,165,43,165
2023,D32,Crimes Against the Person,Other,33,21,33
2020,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1
2019,D33,Crimes Against the Person,Assault,77,50,77
2016,D32,Other Criminal Code Violations,Other,220,206,220
2022,D11,Other Criminal Code Violations,Other,8,8,8
2016,D22,Crimes Against the Person,Robbery-Other,10,4,10
2021,D53,Criminal Code Traffic,Other,2,2,2
2016,D14,Crimes Against Property,Auto Theft,12,3,12
2016,D43,Crimes Against Property,Break & Enter-Apartment,13,4,13
2017,D55,Crimes Against Property,Fraud,52,6,52
2018,D12,Crimes Against the Person,Other,35,23,35
2018,D51,Crimes Against the Person,Robbery-Financial,1,1,1
2019,D12,Crimes Against Property,Theft Under $5000,393,142,393
2021,D14,Criminal Code Traffic,Other,12,12,12
2021,D31,Crimes Against Property,Auto Theft,45,2,45
2016,D23,Crimes Against Property,Break & Enter-House,8,1,8
2019,D42,Crimes Against the Person,Assault,90,51,90
2022,D13,Crimes Against Property,Other,107,39,107
2015,D12,Other Federal Statute Violations,Other,1,1,1
2023,D51,Crimes Against the Person,Robbery-Other,23,14,23
2018,D32,Crimes Against the Person,Robbery-Other,21,7,21
2020,D33,Crimes Against Property,Break & Enter-Apartment,3,3,3
2020,D42,Crimes Against Property,Break & Enter-Commercial,11,1,11
2020,D22,Crimes Against the Person,Robbery-Other,8,1,8
2023,D32,Criminal Code Traffic,Other,7,5,7
2023,D13,Crimes Against Property,Other,55,13,55
2017,D33,Crimes Against Property,Other,50,14,50
2015,D55,Crimes Against Property,Fraud,11,4,11
2016,D55,Crimes Against Property,Other,87,22,87
2017,D55,Crimes Against the Person,Other,15,10,15
2014,D51,Criminal Code Traffic,Other,18,18,18
2016,D32,Crimes Against Property,Theft Under $5000,121,15,121
2020,D23,Crimes Against Property,Theft Under $5000,759,81,759
2021,D43,Crimes Against Property,Theft Over $5000,8,2,8
2022,D32,Crimes Against the Person,Robbery-Other,15,5,15
2020,D42,Crimes Against Property,Break & Enter-House,21,1,21
2017,D52,Controlled Drugs and Substances Act,Other,29,28,29
2020,D14,Crimes Against the Person,Sexual Violation,6,3,6
2016,D43,Crimes Against Property,Break & Enter-Apartment,3,1,3
2021,D55,Crimes Against Property,Fraud,42,4,42
2015,D43,Crimes Against the Person,Other,117,68,117
2021,D11,Crimes Against Property,Other,22,7,22
2015,D23,Crimes Against Property,Theft Under $5000,677,133,677
2021,D13,Crimes Against Property,Theft Under $5000,148,8,148
2014,D14,Crimes Against the Person,Other,23,19,23
2014,D55,Crimes Against Property,Fraud,16,5,16
2023,D13,Crimes Against Property,Break & Enter-House,13,2,13
2015,D41,Crimes Against the Person,Robbery-Other,30,7,30
2020,D41,Other Criminal Code Violations,Other,7,5,7
2014,D14,Crimes Against Property,Theft Over $5000,11,1,11
2019,D33,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,4,4
2021,D11,Crimes Against Property,Theft Over $5000,2,1,2
2017,D55,Crimes Against Property,Auto Theft,26,6,26
2020,D33,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,2
2022,D55,Crimes Against the Person,Sexual Violation,6,4,6
2018,D33,Crimes Against the Person,Other,14,4,14
2022,D41,Crimes Against Property,Other,87,25,87
2015,D41,Crimes Against the Person,Robbery-Other,23,6,23
2017,D55,Crimes Against Property,Other,79,17,79
2020,D22,Controlled Drugs and Substances Act,Other,9,8,9
2015,D52,Crimes Against the Person,Other,42,22,42
2017,D33,Crimes Against Property,Theft Over $5000,1,1,1
2016,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,8,8
2016,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5,5
2020,D13,Crimes Against the Person,Other,12,3,12
2018,D14,Crimes Against the Person,Attempt Murder,2,2,2
2014,D22,Crimes Against Property,Theft Under $5000,43,1,43
2015,D53,Crimes Against Property,Fraud,39,9,39
2022,D32,Crimes Against the Person,Assault,68,35,68
2021,D41,Crimes Against Property,Break & Enter-Apartment,5,1,5
2016,D31,Criminal Code Traffic,Other,13,13,13
2015,D13,Crimes Against the Person,Robbery-Other,6,4,6
2014,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3,3
2017,D53,Crimes Against Property,Break & Enter-Commercial,7,3,7
2014,D11,Other Federal Statute Violations,Other,3,3,3
2019,D55,Crimes Against Property,Auto Theft,6,1,6
2015,D32,Crimes Against the Person,Other,7,2,7
2022,D11,Crimes Against Property,Theft Under $5000,152,22,152
2018,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1
2023,D33,Criminal Code Traffic,Other,28,25,28
2015,D33,Controlled Drugs and Substances Act,Other,1,1,1
2020,D13,Crimes Against Property,Other,117,38,117
2018,D14,Other Criminal Code Violations,Other,24,20,24
2018,D53,Other Criminal Code Violations,Other,1,1,1
2017,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,7,8
2023,D11,Controlled Drugs and Substances Act,Other,3,3,3
2020,D22,Crimes Against Property,Fraud,22,1,22
2020,D11,Crimes Against Property,Break & Enter-House,9,1,9
2023,D23,Criminal Code Traffic,Other,2,2,2
2022,D33,Criminal Code Traffic,Other,1,1,1
2021,D14,Other Federal Statute Violations,Other,2,1,2
2017,D52,Crimes Against Property,Fraud,32,3,32
2022,D33,Crimes Against the Person,Robbery-Other,8,4,8
2016,D53,Other Criminal Code Violations,Other,6,6,6
2022,NSA,Crimes Against the Person,Sexual Violation,124,13,124
2018,D32,Crimes Against Property,Other,51,15,51
2019,D55,Crimes Against the Person,Robbery-Other,8,2,8
2017,D32,Controlled Drugs and Substances Act,Other,18,17,18
2021,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,13,11,13
2019,D22,Crimes Against Property,Theft Over $5000,7,1,7
2015,D31,Other Federal Statute Violations,Other,8,7,8
2015,D11,Crimes Against Property,Other,2,1,2
2014,D52,Other Criminal Code Violations,Other,4,4,4
2017,D42,Crimes Against the Person,Other,29,20,29
2014,D53,Crimes Against Property,Theft Under $5000,219,74,219
2020,D14,Crimes Against the Person,Robbery-Other,9,4,9
2021,D33,Crimes Against Property,Other,8,2,8
2021,D12,Crimes Against Property,Fraud,59,1,59
2019,D13,Crimes Against Property,Break & Enter-Other,3,1,3
2019,D33,Crimes Against Property,Theft Under $5000,145,11,145
2021,D53,Crimes Against the Person,Robbery-Other,7,5,7
2017,D22,Crimes Against the Person,Other,9,4,9
2015,D41,Other Criminal Code Violations,Other,166,150,166
2020,D23,Controlled Drugs and Substances Act,Other,19,15,19
2020,D41,Crimes Against Property,Theft Under $5000,240,48,240
2018,D43,Crimes Against Property,Break & Enter-Commercial,19,12,19
2023,D22,Crimes Against Property,Break & Enter-House,11,1,11
2015,D33,Crimes Against Property,Fraud,59,20,59
2015,D31,Crimes Against the Person,Assault,269,178,269
2015,D53,Crimes Against Property,Other,10,1,10
2022,D11,Crimes Against Property,Break & Enter-House,17,8,17
2015,D23,Crimes Against Property,Theft Under $5000,157,34,157
2018,D51,Crimes Against Property,Theft Under $5000,507,89,507
2022,D32,Crimes Against Property,Fraud,63,3,63
2020,D55,Crimes Against the Person,Robbery-Other,8,3,8
2022,D55,Crimes Against the Person,Sexual Violation,17,9,17
2021,D13,Crimes Against the Person,Assault,63,39,63
2017,D12,Crimes Against the Person,Sexual Violation,11,8,11
2021,D13,Other Criminal Code Violations,Other,1,1,1
2023,D31,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,47,32,47
2020,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,2
2017,D11,Controlled Drugs and Substances Act,Other,19,19,19
2021,D53,Controlled Drugs and Substances Act,Other,1,1,1
2018,D53,Crimes Against the Person,Assault,35,17,35
2017,D43,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,4,4
2018,D32,Criminal Code Traffic,Other,6,6,6
2019,D23,Criminal Code Traffic,Other,5,4,5
2015,D11,Crimes Against Property,Theft Under $5000,152,62,152
2022,D11,Crimes Against Property,Fraud,70,5,70
2017,D11,Crimes Against Property,Break & Enter-Apartment,16,6,16
2017,D12,Controlled Drugs and Substances Act,Other,9,9,9
2017,D13,Crimes Against Property,Break & Enter-Apartment,6,3,6
2021,D32,Crimes Against the Person,Sexual Violation,4,2,4
2014,D55,Crimes Against Property,Break & Enter-House,23,7,23
2021,D14,Crimes Against Property,Auto Theft,17,2,17
2020,D32,Controlled Drugs and Substances Act,Other,1,1,1
2015,D42,Other Criminal Code Violations,Other,49,42,49
2014,D53,Controlled Drugs and Substances Act,Other,10,10,10
2022,D55,Other Criminal Code Violations,Other,139,117,139
2022,D53,Crimes Against Property,Break & Enter-Other,3,1,3
2019,D14,Crimes Against the Person,Sexual Violation,11,8,11
2023,D42,Crimes Against the Person,Other,12,6,12
2019,D14,Crimes Against Property,Other,96,39,96
2022,D51,Criminal Code Traffic,Other,20,19,20
2018,D53,Crimes Against the Person,Other,25,8,25
2014,D41,Other Criminal Code Violations,Other,120,116,120
2023,D11,Criminal Code Traffic,Other,11,9,11
2020,D51,Crimes Against Property,Other,5,3,5
2023,D43,Crimes Against the Person,Robbery-Other,9,1,9
2014,D32,Crimes Against the Person,Robbery-Other,11,2,11
2019,D31,Crimes Against the Person,Other,20,11,20
2022,D11,Crimes Against Property,Break & Enter-Apartment,7,4,7
2014,D13,Crimes Against the Person,Attempt Murder,1,1,1
2017,D33,Crimes Against Property,Auto Theft,15,6,15
2016,D55,Crimes Against Property,Other,40,12,40
2018,D14,Crimes Against the Person,Sexual Violation,15,9,15
2021,D43,Crimes Against Property,Theft Under $5000,53,4,53
2017,D52,Other Criminal Code Violations,Other,45,39,45
2019,D11,Crimes Against the Person,Sexual Violation,16,8,16
2019,D55,Other Criminal Code Violations,Other,64,53,64
2015,D42,Crimes Against Property,Break & Enter-Other,2,1,2
2023,D55,Crimes Against the Person,Sexual Violation,10,4,10
2019,D22,Crimes Against Property,Theft Under $5000,150,17,150
2022,D42,Crimes Against the Person,Robbery-Other,26,16,26
2020,D23,Crimes Against the Person,Attempt Murder,1,1,1
2021,D12,Controlled Drugs and Substances Act,Other,4,4,4
2022,D31,Crimes Against Property,Break & Enter-Commercial,10,3,10
2017,D33,Crimes Against the Person,Assault,4,3,4
2018,D55,Crimes Against Property,Auto Theft,38,8,38
2018,D41,Crimes Against Property,Break & Enter-House,7,4,7
2023,D42,Crimes Against Property,Theft Under $5000,150,21,150
2014,D42,Crimes Against Property,Theft Under $5000,26,12,26
2019,D55,Crimes Against Property,Fraud,59,6,59
2017,D55,Crimes Against Property,Break & Enter-House,8,1,8
2019,D11,Crimes Against the Person,Assault,139,101,139
2023,D32,Other Criminal Code Violations,Other,4,4,4
2018,D22,Crimes Against Property,Auto Theft,20,3,20
2018,D55,Criminal Code Traffic,Other,6,6,6
2015,D41,Other Federal Statute Violations,Other,4,3,4
2018,D55,Crimes Against Property,Break & Enter-Other,5,1,5
2021,D55,Crimes Against the Person,Attempt Murder,12,9,12
2023,D33,Crimes Against Property,Break & Enter-Apartment,5,1,5
2022,D14,Crimes Against Property,Break & Enter-House,5,3,5
2023,D11,Crimes Against the Person,Other,5,3,5
2018,D43,Criminal Code Traffic,Other,18,18,18
2023,D53,Crimes Against the Person,Sexual Violation,9,3,9
2016,D52,Crimes Against Property,Theft Under $5000,2328,1297,2328
2020,D52,Crimes Against Property,Break & Enter-Commercial,56,21,56
2017,D12,Crimes Against Property,Break & Enter-Other,1,1,1
2021,D43,Crimes Against Property,Fraud,112,14,112
2022,D43,Criminal Code Traffic,Other,13,11,13
2020,D33,Crimes Against Property,Break & Enter-Commercial,5,1,5
2017,D22,Crimes Against Property,Auto Theft,13,2,13
2020,D11,Crimes Against the Person,Robbery-Other,16,11,16
2023,D32,Crimes Against the Person,Robbery-Other,11,4,11
2020,D13,Crimes Against Property,Theft Under $5000,262,46,262
2021,D33,Other Criminal Code Violations,Other,11,9,11
2021,D42,Crimes Against the Person,Other,25,9,25
2014,D32,Crimes Against Property,Break & Enter-House,26,2,26
2017,D55,Crimes Against the Person,Assault,38,18,38
2020,D13,Crimes Against the Person,Sexual Violation,5,1,5
2016,D22,Controlled Drugs and Substances Act,Other,7,6,7
2016,D22,Crimes Against the Person,Assault,115,73,115
2019,D41,Crimes Against the Person,Assault,49,30,49
2018,D55,Crimes Against Property,Theft Over $5000,1,1,1
2014,D32,Crimes Against the Person,Robbery-Other,21,14,21
2015,D13,Other Federal Statute Violations,Other,1,1,1
2020,D33,Crimes Against Property,Other,79,17,79
2022,D22,Other Criminal Code Violations,Other,11,6,11
2016,D43,Crimes Against the Person,Sexual Violation,21,16,21
2022,D53,Crimes Against Property,Break & Enter-Apartment,3,1,3
2014,D33,Crimes Against Property,Theft Under $5000,11,2,11
2014,D55,Criminal Code Traffic,Other,6,6,6
2019,D32,Crimes Against the Person,Other,11,6,11
2023,D55,Crimes Against Property,Other,49,11,49
2016,D55,Crimes Against Property,Fraud,63,6,63
2018,D13,Crimes Against the Person,Assault,15,8,15
2015,D52,Other Federal Statute Violations,Other,4,4,4
2021,D13,Crimes Against the Person,Assault,10,5,10
2019,D13,Crimes Against Property,Break & Enter-Commercial,20,11,20
2015,NSA,Crimes Against Property,Other,1,1,1
2023,D32,Crimes Against Property,Theft Under $5000,70,2,70
2018,D14,Crimes Against Property,Other,62,18,62
2021,D41,Crimes Against Property,Theft Under $5000,375,52,375
2023,D33,Other Criminal Code Violations,Other,34,32,34
2015,D52,Crimes Against the Person,Other,42,21,42
2022,D31,Criminal Code Traffic,Other,23,19,23
2016,D31,Other Criminal Code Violations,Other,146,133,146
2022,D22,Crimes Against Property,Theft Over $5000,7,1,7
2023,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,11,6,11
2019,D55,Crimes Against Property,Other,55,15,55
2017,D11,Crimes Against the Person,Assault,4,2,4
2018,D41,Crimes Against Property,Fraud,142,28,142
2020,D52,Crimes Against Property,Break & Enter-House,1,1,1
2015,D14,Crimes Against Property,Auto Theft,14,4,14
2018,D14,Other Criminal Code Violations,Other,56,51,56
2022,D55,Controlled Drugs and Substances Act,Other,2,2,2
2020,D11,Other Criminal Code Violations,Other,39,33,39
2014,D32,Crimes Against the Person,Robbery-Financial,2,2,2
2018,D55,Crimes Against the Person,Robbery-Other,4,2,4
2018,D53,Crimes Against the Person,Robbery-Financial,2,2,2
2021,D53,Crimes Against Property,Break & Enter-House,12,3,12
2014,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,11,11,11
2022,D13,Crimes Against Property,Break & Enter-House,5,1,5
2022,D11,Crimes Against Property,Auto Theft,27,4,27
2021,D32,Crimes Against Property,Fraud,62,8,62
2019,D55,Criminal Code Traffic,Other,18,18,18
2017,D55,Other Criminal Code Violations,Other,64,57,64
2016,D53,Crimes Against Property,Break & Enter-House,3,1,3
2015,D13,Crimes Against Property,Auto Theft,19,3,19
2020,D11,Crimes Against the Person,Other,10,4,10
2023,D41,Crimes Against Property,Break & Enter-House,5,1,5
2015,D14,Other Criminal Code Violations,Other,131,124,131
2018,D51,Crimes Against Property,Break & Enter-Commercial,45,8,45
2015,D52,Crimes Against the Person,Sexual Violation,29,15,29
2015,D32,Criminal Code Traffic,Other,2,2,2
2017,D22,Controlled Drugs and Substances Act,Other,29,28,29
2019,D51,Crimes Against the Person,Other,32,10,32
2017,D31,Crimes Against Property,Break & Enter-Apartment,21,13,21
2017,D51,Crimes Against the Person,Sexual Violation,45,15,45
2018,D32,Crimes Against the Person,Sexual Violation,16,5,16
2016,D32,Crimes Against the Person,Other,10,6,10
2023,D52,Crimes Against Property,Fraud,124,5,124
2018,D33,Other Criminal Code Violations,Other,26,20,26
2020,D31,Crimes Against Property,Break & Enter-House,10,2,10
2014,D22,Other Criminal Code Violations,Other,5,5,5
2018,D55,Crimes Against Property,Break & Enter-Apartment,11,2,11
2020,D53,Crimes Against Property,Break & Enter-Other,12,3,12
2017,D32,Crimes Against Property,Break & Enter-Apartment,7,2,7
2017,D33,Crimes Against the Person,Robbery-Other,7,3,7
2022,D32,Crimes Against the Person,Attempt Murder,1,1,1
2015,D13,Other Federal Statute Violations,Other,6,6,6
2015,D13,Crimes Against Property,Theft Under $5000,103,48,103
2018,D42,Crimes Against Property,Theft Under $5000,4,1,4
2018,D33,Crimes Against Property,Auto Theft,26,3,26
2021,D14,Controlled Drugs and Substances Act,Other,5,2,5
2022,D12,Crimes Against Property,Other,72,18,72
2023,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,23,19,23
2018,D11,Crimes Against Property,Break & Enter-Other,5,1,5
2018,D52,Other Federal Statute Violations,Other,4,3,4
2020,D55,Crimes Against Property,Theft Under $5000,68,3,68
2019,D51,Crimes Against Property,Fraud,218,28,218
2018,D51,Other Criminal Code Violations,Other,7,6,7
2014,D13,Crimes Against Property,Theft Under $5000,14,5,14
2015,D12,Crimes Against Property,Theft Under $5000,35,9,35
2015,D12,Crimes Against the Person,Other,16,9,16
2017,D41,Crimes Against the Person,Sexual Violation,19,15,19
2018,D42,Crimes Against Property,Theft Under $5000,119,9,119
2014,D42,Crimes Against Property,Theft Under $5000,235,61,235
2023,D11,Crimes Against the Person,Assault,177,122,177
2023,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,9,6,9
2016,D55,Crimes Against Property,Other,100,30,100
2014,D53,Crimes Against the Person,Assault,12,10,12
2021,D13,Crimes Against Property,Auto Theft,30,2,30
2019,D33,Crimes Against the Person,Attempt Murder,7,3,7
2014,D14,Crimes Against Property,Break & Enter-Apartment,5,3,5
2016,D11,Crimes Against the Person,Sexual Violation,2,2,2
2020,D31,Crimes Against Property,Fraud,139,4,139
2014,D52,Criminal Code Traffic,Other,3,3,3
2019,D41,Other Criminal Code Violations,Other,143,129,143
2015,D23,Controlled Drugs and Substances Act,Other,31,31,31
2018,D32,Crimes Against the Person,Robbery-Other,10,1,10
2016,D55,Crimes Against Property,Theft Over $5000,20,6,20
2020,D32,Criminal Code Traffic,Other,6,6,6
2022,D55,Crimes Against the Person,Robbery-Other,5,4,5
2017,D12,Crimes Against the Person,Other,16,14,16
2023,D55,Other Criminal Code Violations,Other,45,34,45
2016,D55,Crimes Against Property,Other,135,35,135
2018,D14,Crimes Against the Person,Assault,103,60,103
2022,D41,Crimes Against Property,Break & Enter-Apartment,12,6,12
2020,D32,Crimes Against Property,Fraud,117,20,117
2021,D53,Criminal Code Traffic,Other,1,1,1
2017,D41,Crimes Against Property,Theft Over $5000,5,1,5
2016,D22,Crimes Against the Person,Other,30,9,30
2020,D12,Other Criminal Code Violations,Other,16,13,16
2022,D11,Crimes Against Property,Break & Enter-Apartment,18,6,18
2019,D51,Crimes Against Property,Theft Under $5000,304,51,304
2019,D55,Crimes Against the Person,Other,16,12,16
2020,D23,Crimes Against the Person,Other,43,34,43
2020,D14,Crimes Against Property,Break & Enter-Commercial,26,12,26
2022,D55,Crimes Against Property,Break & Enter-Apartment,15,7,15
2016,D11,Other Federal Statute Violations,Other,1,1,1
2015,D13,Crimes Against the Person,Sexual Violation,6,5,6
2015,D55,Crimes Against the Person,Robbery-Financial,1,1,1
2014,D55,Crimes Against the Person,Attempt Murder,1,1,1
2016,D51,Crimes Against Property,Theft Over $5000,2,1,2
2017,D53,Crimes Against Property,Theft Under $5000,556,79,556
2017,D11,Crimes Against the Person,Robbery-Financial,2,2,2
2020,D43,Crimes Against the Person,Robbery-Other,21,12,21
2021,D12,Other Criminal Code Violations,Other,1,1,1
2015,D51,Crimes Against Property,Break & Enter-Commercial,1,1,1
2016,D23,Crimes Against Property,Auto Theft,15,3,15
2019,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,10,10,10
2015,D32,Crimes Against the Person,Assault,82,50,82
2019,D42,Crimes Against the Person,Other,30,25,30
2022,D53,Crimes Against Property,Auto Theft,15,2,15
2021,D22,Crimes Against Property,Fraud,36,4,36
2015,D12,Crimes Against Property,Fraud,16,4,16
2022,D11,Criminal Code Traffic,Other,18,15,18
2022,D42,Other Criminal Code Violations,Other,5,4,5
2015,D43,Crimes Against Property,Auto Theft,23,1,23
2023,D52,Crimes Against Property,Theft Over $5000,52,17,52
2015,D13,Crimes Against Property,Break & Enter-House,11,6,11
2016,D23,Other Criminal Code Violations,Other,13,12,13
2020,D12,Crimes Against Property,Other,29,14,29
2016,D51,Crimes Against the Person,Assault,406,238,406
2016,D33,Crimes Against the Person,Assault,33,18,33
2014,D14,Crimes Against the Person,Attempt Murder,1,1,1
2022,D53,Crimes Against Property,Other,20,5,20
2023,D55,Crimes Against Property,Break & Enter-Commercial,9,6,9
2020,D33,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3,3
2014,D23,Controlled Drugs and Substances Act,Other,12,12,12
2021,D13,Crimes Against Property,Break & Enter-Apartment,4,2,4
2016,D22,Crimes Against the Person,Assault,36,25,36
2018,D14,Crimes Against Property,Theft Under $5000,380,69,380
2017,D13,Other Criminal Code Violations,Other,33,31,33
2023,D42,Crimes Against Property,Other,89,21,89
